day;month;year;cases;deaths;countriesAndTerritories
1;01;2020;0;0;Cyprus
2;01;2020;0;0;Cyprus
3;01;2020;0;0;Cyprus
4;01;2020;0;0;Cyprus
5;01;2020;0;0;Cyprus
6;01;2020;0;0;Cyprus
7;01;2020;0;0;Cyprus
8;01;2020;0;0;Cyprus
9;01;2020;0;0;Cyprus
10;01;2020;0;0;Cyprus
11;01;2020;0;0;Cyprus
12;01;2020;0;0;Cyprus
13;01;2020;0;0;Cyprus
14;01;2020;0;0;Cyprus
15;01;2020;0;0;Cyprus
16;01;2020;0;0;Cyprus
17;01;2020;0;0;Cyprus
18;01;2020;0;0;Cyprus
19;01;2020;0;0;Cyprus
20;01;2020;0;0;Cyprus
21;01;2020;0;0;Cyprus
22;01;2020;0;0;Cyprus
23;01;2020;0;0;Cyprus
24;01;2020;0;0;Cyprus
25;01;2020;0;0;Cyprus
26;01;2020;0;0;Cyprus
27;01;2020;0;0;Cyprus
28;01;2020;0;0;Cyprus
29;01;2020;0;0;Cyprus
30;02;2020;0;0;Cyprus
31;02;2020;0;0;Cyprus
32;02;2020;0;0;Cyprus
33;02;2020;0;0;Cyprus
34;02;2020;0;0;Cyprus
35;02;2020;0;0;Cyprus
36;02;2020;0;0;Cyprus
37;02;2020;0;0;Cyprus
38;02;2020;0;0;Cyprus
39;02;2020;0;0;Cyprus
40;02;2020;0;0;Cyprus
41;02;2020;0;0;Cyprus
42;02;2020;0;0;Cyprus
43;02;2020;0;0;Cyprus
44;02;2020;0;0;Cyprus
45;02;2020;0;0;Cyprus
46;02;2020;0;0;Cyprus
47;02;2020;0;0;Cyprus
48;02;2020;0;0;Cyprus
49;02;2020;0;0;Cyprus
50;02;2020;0;0;Cyprus
51;02;2020;0;0;Cyprus
52;02;2020;0;0;Cyprus
53;02;2020;0;0;Cyprus
54;02;2020;0;0;Cyprus
55;02;2020;0;0;Cyprus
56;02;2020;0;0;Cyprus
57;02;2020;0;0;Cyprus
58;02;2020;0;0;Cyprus
59;03;2020;0;0;Cyprus
60;03;2020;0;0;Cyprus
61;03;2020;0;0;Cyprus
62;03;2020;0;0;Cyprus
63;03;2020;0;0;Cyprus
64;03;2020;0;0;Cyprus
65;03;2020;0;0;Cyprus
66;03;2020;0;0;Cyprus
67;03;2020;0;0;Cyprus
68;03;2020;2;0;Cyprus
69;03;2020;0;0;Cyprus
70;03;2020;4;0;Cyprus
71;03;2020;0;0;Cyprus
72;03;2020;8;0;Cyprus
73;03;2020;7;0;Cyprus
74;03;2020;9;0;Cyprus
75;03;2020;10;0;Cyprus
76;03;2020;0;0;Cyprus
77;03;2020;18;0;Cyprus
78;03;2020;0;0;Cyprus
79;03;2020;9;0;Cyprus
80;03;2020;17;0;Cyprus
81;03;2020;11;0;Cyprus
82;03;2020;21;0;Cyprus
83;03;2020;8;3;Cyprus
84;03;2020;8;0;Cyprus
85;03;2020;14;0;Cyprus
86;03;2020;16;2;Cyprus
87;03;2020;17;0;Cyprus
88;03;2020;35;1;Cyprus
89;03;2020;16;1;Cyprus
90;04;2020;32;1;Cyprus
91;04;2020;58;1;Cyprus
92;04;2020;36;0;Cyprus
93;04;2020;40;0;Cyprus
94;04;2020;30;0;Cyprus
95;04;2020;20;0;Cyprus
96;04;2020;19;0;Cyprus
97;04;2020;29;0;Cyprus
98;04;2020;32;0;Cyprus
99;04;2020;38;1;Cyprus
100;04;2020;31;0;Cyprus
101;04;2020;21;0;Cyprus
102;04;2020;17;1;Cyprus
103;04;2020;29;1;Cyprus
104;04;2020;33;0;Cyprus
105;04;2020;20;0;Cyprus
106;04;2020;20;0;Cyprus
107;04;2020;0;0;Cyprus
108;04;2020;26;0;Cyprus
109;04;2020;6;0;Cyprus
110;04;2020;5;0;Cyprus
111;04;2020;12;0;Cyprus
112;04;2020;6;2;Cyprus
113;04;2020;5;0;Cyprus
114;04;2020;9;0;Cyprus
115;04;2020;6;0;Cyprus
116;04;2020;7;0;Cyprus
117;04;2020;5;1;Cyprus
118;04;2020;15;0;Cyprus
119;04;2020;6;0;Cyprus
120;05;2020;7;0;Cyprus
121;05;2020;7;0;Cyprus
122;05;2020;7;0;Cyprus
123;05;2020;8;0;Cyprus
124;05;2020;2;0;Cyprus
125;05;2020;4;0;Cyprus
126;05;2020;5;0;Cyprus
127;05;2020;6;0;Cyprus
128;05;2020;2;0;Cyprus
129;05;2020;1;0;Cyprus
130;05;2020;6;1;Cyprus
131;05;2020;3;0;Cyprus
132;05;2020;2;0;Cyprus
133;05;2020;2;1;Cyprus
134;05;2020;2;0;Cyprus
135;05;2020;3;0;Cyprus
136;05;2020;4;0;Cyprus
137;05;2020;2;0;Cyprus
138;05;2020;1;0;Cyprus
139;05;2020;1;0;Cyprus
140;05;2020;4;0;Cyprus
141;05;2020;1;0;Cyprus
142;05;2020;4;0;Cyprus
143;05;2020;0;0;Cyprus
144;05;2020;8;0;Cyprus
145;05;2020;2;0;Cyprus
146;05;2020;2;0;Cyprus
147;05;2020;0;0;Cyprus
148;05;2020;2;0;Cyprus
149;05;2020;0;0;Cyprus
150;05;2020;2;0;Cyprus
151;06;2020;1;0;Cyprus
152;06;2020;5;0;Cyprus
153;06;2020;3;0;Cyprus
154;06;2020;6;0;Cyprus
155;06;2020;0;0;Cyprus
156;06;2020;2;0;Cyprus
157;06;2020;0;1;Cyprus
158;06;2020;4;0;Cyprus
159;06;2020;6;0;Cyprus
160;06;2020;2;0;Cyprus
161;06;2020;2;0;Cyprus
162;06;2020;1;0;Cyprus
163;06;2020;5;0;Cyprus
164;06;2020;0;0;Cyprus
165;06;2020;3;0;Cyprus
166;06;2020;2;0;Cyprus
167;06;2020;0;0;Cyprus
168;06;2020;0;0;Cyprus
169;06;2020;0;1;Cyprus
170;06;2020;0;0;Cyprus
171;06;2020;0;0;Cyprus
172;06;2020;1;0;Cyprus
173;06;2020;2;0;Cyprus
174;06;2020;2;0;Cyprus
175;06;2020;1;0;Cyprus
176;06;2020;1;0;Cyprus
177;06;2020;0;0;Cyprus
178;06;2020;2;0;Cyprus
179;06;2020;0;0;Cyprus
180;06;2020;2;0;Cyprus
181;07;2020;2;0;Cyprus
182;07;2020;1;0;Cyprus
183;07;2020;0;0;Cyprus
184;07;2020;0;0;Cyprus
185;07;2020;3;0;Cyprus
186;07;2020;1;0;Cyprus
187;07;2020;1;0;Cyprus
188;07;2020;1;0;Cyprus
189;07;2020;3;0;Cyprus
190;07;2020;2;0;Cyprus
191;07;2020;3;0;Cyprus
192;07;2020;1;0;Cyprus
193;07;2020;7;0;Cyprus
194;07;2020;1;0;Cyprus
195;07;2020;0;0;Cyprus
196;07;2020;1;0;Cyprus
197;07;2020;8;0;Cyprus
198;07;2020;0;0;Cyprus
199;07;2020;6;0;Cyprus
200;07;2020;1;0;Cyprus
201;07;2020;0;0;Cyprus
202;07;2020;2;0;Cyprus
203;07;2020;0;0;Cyprus
204;07;2020;5;0;Cyprus
205;07;2020;2;0;Cyprus
206;07;2020;6;0;Cyprus
207;07;2020;4;0;Cyprus
208;07;2020;3;0;Cyprus
209;07;2020;7;0;Cyprus
210;07;2020;13;0;Cyprus
211;07;2020;4;0;Cyprus
212;08;2020;30;0;Cyprus
213;08;2020;10;0;Cyprus
214;08;2020;26;0;Cyprus
215;08;2020;5;0;Cyprus
216;08;2020;25;0;Cyprus
217;08;2020;15;0;Cyprus
218;08;2020;13;0;Cyprus
219;08;2020;14;0;Cyprus
220;08;2020;11;0;Cyprus
221;08;2020;9;0;Cyprus
222;08;2020;10;0;Cyprus
223;08;2020;25;1;Cyprus
224;08;2020;14;0;Cyprus
225;08;2020;14;0;Cyprus
226;08;2020;13;0;Cyprus
227;08;2020;14;0;Cyprus
228;08;2020;0;0;Cyprus
229;08;2020;19;0;Cyprus
230;08;2020;8;0;Cyprus
231;08;2020;26;1;Cyprus
232;08;2020;10;0;Cyprus
233;08;2020;11;0;Cyprus
234;08;2020;11;0;Cyprus
235;08;2020;4;0;Cyprus
236;08;2020;30;0;Cyprus
237;08;2020;23;0;Cyprus
238;08;2020;7;0;Cyprus
239;08;2020;0;0;Cyprus
240;08;2020;0;0;Cyprus
241;08;2020;2;0;Cyprus
242;08;2020;4;0;Cyprus
243;09;2020;1;0;Cyprus
244;09;2020;2;0;Cyprus
245;09;2020;5;0;Cyprus
246;09;2020;3;0;Cyprus
247;09;2020;0;0;Cyprus
248;09;2020;9;0;Cyprus
249;09;2020;2;0;Cyprus
250;09;2020;1;0;Cyprus
251;09;2020;1;0;Cyprus
252;09;2020;3;0;Cyprus
253;09;2020;3;0;Cyprus
254;09;2020;3;0;Cyprus
255;09;2020;3;0;Cyprus
256;09;2020;3;0;Cyprus
257;09;2020;8;1;Cyprus
258;09;2020;6;0;Cyprus
259;09;2020;8;0;Cyprus
260;09;2020;10;0;Cyprus
261;09;2020;7;0;Cyprus
262;09;2020;15;0;Cyprus
263;09;2020;20;0;Cyprus
264;09;2020;3;0;Cyprus
265;09;2020;15;0;Cyprus
266;09;2020;36;0;Cyprus
267;09;2020;9;0;Cyprus
268;09;2020;8;0;Cyprus
269;09;2020;13;0;Cyprus
270;09;2020;12;0;Cyprus
271;09;2020;17;0;Cyprus
272;09;2020;30;0;Cyprus
273;10;2020;12;0;Cyprus
274;10;2020;17;0;Cyprus
275;10;2020;17;0;Cyprus
276;10;2020;22;0;Cyprus
277;10;2020;13;0;Cyprus
278;10;2020;23;0;Cyprus
279;10;2020;29;1;Cyprus
280;10;2020;21;1;Cyprus
281;10;2020;21;0;Cyprus
282;10;2020;33;1;Cyprus
283;10;2020;35;0;Cyprus
284;10;2020;0;0;Cyprus
285;10;2020;61;0;Cyprus
286;10;2020;0;0;Cyprus
287;10;2020;83;0;Cyprus
288;10;2020;51;0;Cyprus
289;10;2020;198;0;Cyprus
290;10;2020;0;0;Cyprus
291;10;2020;265;0;Cyprus
292;10;2020;43;0;Cyprus
293;10;2020;152;0;Cyprus
294;10;2020;127;0;Cyprus
295;10;2020;188;0;Cyprus
296;10;2020;160;0;Cyprus
297;10;2020;130;0;Cyprus
298;10;2020;101;0;Cyprus
299;10;2020;91;0;Cyprus
300;10;2020;181;0;Cyprus
301;10;2020;0;0;Cyprus
302;10;2020;234;0;Cyprus
303;10;2020;166;0;Cyprus
304;11;2020;149;1;Cyprus
305;11;2020;197;0;Cyprus
306;11;2020;197;0;Cyprus
307;11;2020;174;0;Cyprus
308;11;2020;166;0;Cyprus
309;11;2020;233;0;Cyprus
310;11;2020;224;0;Cyprus
311;11;2020;314;1;Cyprus
312;11;2020;116;0;Cyprus
313;11;2020;111;0;Cyprus
314;11;2020;198;2;Cyprus
315;11;2020;165;3;Cyprus
316;11;2020;185;2;Cyprus
317;11;2020;207;4;Cyprus
318;11;2020;198;1;Cyprus
319;11;2020;127;1;Cyprus
320;11;2020;107;0;Cyprus
321;11;2020;228;0;Cyprus
322;11;2020;198;1;Cyprus
323;11;2020;268;0;Cyprus
324;11;2020;232;2;Cyprus
325;11;2020;245;0;Cyprus
326;11;2020;187;1;Cyprus
327;11;2020;304;0;Cyprus
328;11;2020;252;2;Cyprus
329;11;2020;254;1;Cyprus
330;11;2020;220;1;Cyprus
331;11;2020;310;0;Cyprus
332;11;2020;248;0;Cyprus
333;11;2020;152;0;Cyprus
334;12;2020;182;1;Cyprus
335;12;2020;318;0;Cyprus
336;12;2020;292;3;Cyprus
337;12;2020;348;2;Cyprus
338;12;2020;290;4;Cyprus
339;12;2020;369;2;Cyprus
340;12;2020;270;2;Cyprus
341;12;2020;416;2;Cyprus
342;12;2020;419;5;Cyprus
343;12;2020;363;2;Cyprus
344;12;2020;403;2;Cyprus
345;12;2020;424;3;Cyprus
346;12;2020;324;3;Cyprus
347;12;2020;301;2;Cyprus
348;12;2020;349;4;Cyprus
349;12;2020;339;2;Cyprus
350;12;2020;401;1;Cyprus
351;12;2020;457;0;Cyprus
352;12;2020;410;2;Cyprus
353;12;2020;419;2;Cyprus
354;12;2020;242;2;Cyprus
355;12;2020;286;5;Cyprus
356;12;2020;402;5;Cyprus
357;12;2020;477;3;Cyprus
