day;month;year;cases;deaths;countriesAndTerritories
03;01;2020;0;0;Denmark
04;01;2020;0;0;Denmark
05;01;2020;0;0;Denmark
06;01;2020;0;0;Denmark
07;01;2020;0;0;Denmark
08;01;2020;0;0;Denmark
09;01;2020;0;0;Denmark
10;01;2020;0;0;Denmark
11;01;2020;0;0;Denmark
12;01;2020;0;0;Denmark
13;01;2020;0;0;Denmark
14;01;2020;0;0;Denmark
15;01;2020;0;0;Denmark
16;01;2020;0;0;Denmark
17;01;2020;0;0;Denmark
18;01;2020;0;0;Denmark
19;01;2020;0;0;Denmark
20;01;2020;0;0;Denmark
21;01;2020;0;0;Denmark
22;01;2020;0;0;Denmark
23;01;2020;0;0;Denmark
24;01;2020;0;0;Denmark
25;01;2020;0;0;Denmark
26;01;2020;0;0;Denmark
27;01;2020;0;0;Denmark
28;01;2020;0;0;Denmark
29;01;2020;0;0;Denmark
30;01;2020;0;0;Denmark
31;01;2020;0;0;Denmark
01;02;2020;0;0;Denmark
02;02;2020;0;0;Denmark
03;02;2020;0;0;Denmark
04;02;2020;0;0;Denmark
05;02;2020;0;0;Denmark
06;02;2020;0;0;Denmark
07;02;2020;0;0;Denmark
08;02;2020;0;0;Denmark
09;02;2020;0;0;Denmark
10;02;2020;0;0;Denmark
11;02;2020;0;0;Denmark
12;02;2020;0;0;Denmark
13;02;2020;0;0;Denmark
14;02;2020;0;0;Denmark
15;02;2020;0;0;Denmark
16;02;2020;0;0;Denmark
17;02;2020;0;0;Denmark
18;02;2020;0;0;Denmark
19;02;2020;0;0;Denmark
20;02;2020;0;0;Denmark
21;02;2020;0;0;Denmark
22;02;2020;0;0;Denmark
23;02;2020;0;0;Denmark
24;02;2020;0;0;Denmark
25;02;2020;0;0;Denmark
26;02;2020;0;0;Denmark
27;02;2020;1;0;Denmark
28;02;2020;1;0;Denmark
29;02;2020;0;0;Denmark
01;03;2020;1;0;Denmark
02;03;2020;1;0;Denmark
03;03;2020;4;0;Denmark
04;03;2020;4;0;Denmark
05;03;2020;3;0;Denmark
06;03;2020;10;0;Denmark
07;03;2020;2;0;Denmark
08;03;2020;9;0;Denmark
09;03;2020;48;0;Denmark
10;03;2020;210;0;Denmark
11;03;2020;255;0;Denmark
12;03;2020;206;0;Denmark
13;03;2020;41;1;Denmark
14;03;2020;33;0;Denmark
15;03;2020;37;0;Denmark
16;03;2020;45;1;Denmark
17;03;2020;74;2;Denmark
18;03;2020;76;1;Denmark
19;03;2020;83;1;Denmark
20;03;2020;106;4;Denmark
21;03;2020;102;5;Denmark
22;03;2020;48;4;Denmark
23;03;2020;62;3;Denmark
24;03;2020;131;3;Denmark
25;03;2020;138;6;Denmark
26;03;2020;151;6;Denmark
27;03;2020;170;6;Denmark
28;03;2020;215;12;Denmark
29;03;2020;200;12;Denmark
30;03;2020;127;9;Denmark
31;03;2020;309;8;Denmark
01;04;2020;254;11;Denmark
02;04;2020;279;15;Denmark
03;04;2020;380;22;Denmark
04;04;2020;471;18;Denmark
05;04;2020;293;20;Denmark
06;04;2020;157;15;Denmark
07;04;2020;423;12;Denmark
08;04;2020;345;17;Denmark
09;04;2020;294;12;Denmark
10;04;2020;136;15;Denmark
11;04;2020;140;13;Denmark
12;04;2020;139;16;Denmark
13;04;2020;156;11;Denmark
14;04;2020;156;11;Denmark
15;04;2020;258;16;Denmark
16;04;2020;198;12;Denmark
17;04;2020;178;10;Denmark
18;04;2020;168;12;Denmark
19;04;2020;104;9;Denmark
20;04;2020;111;10;Denmark
