day;month;year;cases;deaths;countriesAndTerritories;continentExp;Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
1;3;2020;45;1;Hungary;Europe;4,5227774
2;3;2020;39;2;Hungary;Europe;4,17487145
3;3;2020;65;2;Hungary;Europe;3,85766308
4;3;2020;43;1;Hungary;Europe;3,25394392
5;3;2020;39;0;Hungary;Europe;2,90603797
6;3;2020;35;0;Hungary;Europe;2,53766696
7;3;2020;39;2;Hungary;Europe;2,189761
8;3;2020;20;1;Hungary;Europe;1,82138999
9;3;2020;36;3;Hungary;Europe;1,62697196
10;3;2020;28;0;Hungary;Europe;1,26883348
11;3;2020;18;3;Hungary;Europe;1,01302028
12;3;2020;12;0;Hungary;Europe;0,84929983
13;3;2020;23;0;Hungary;Europe;0,74697455
14;3;2020;0;0;Hungary;Europe;
15;3;2020;11;0;Hungary;Europe;
16;3;2020;8;1;Hungary;Europe;
17;3;2020;6;0;Hungary;Europe;
18;3;2020;9;0;Hungary;Europe;
19;3;2020;3;0;Hungary;Europe;
20;3;2020;1;0;Hungary;Europe;
21;3;2020;3;0;Hungary;Europe;
22;3;2020;1;0;Hungary;Europe;
23;3;2020;1;0;Hungary;Europe;
24;3;2020;3;0;Hungary;Europe;
25;3;2020;2;0;Hungary;Europe;
26;3;2020;2;0;Hungary;Europe;
27;4;2020;48;12;Hungary;Europe;11,49112901
28;4;2020;78;9;Hungary;Europe;11,74694221
29;4;2020;66;11;Hungary;Europe;11,6343844
30;4;2020;83;8;Hungary;Europe;11,51159407
31;4;2020;57;10;Hungary;Europe;11,15345559
32;4;2020;60;12;Hungary;Europe;11,59345429
33;4;2020;99;25;Hungary;Europe;12,20740598
34;4;2020;116;0;Hungary;Europe;13,34321659
35;4;2020;70;12;Hungary;Europe;13,02600822
36;4;2020;114;14;Hungary;Europe;13,10786845
37;4;2020;68;10;Hungary;Europe;12,6883348
38;4;2020;82;17;Hungary;Europe;12,1050807
39;4;2020;71;16;Hungary;Europe;11,82880244
40;4;2020;111;14;Hungary;Europe;11,66508199
41;4;2020;73;8;Hungary;Europe;10,91810744
42;4;2020;67;12;Hungary;Europe;10,78508458
43;4;2020;54;13;Hungary;Europe;10,43717862
44;4;2020;48;10;Hungary;Europe;10,34508587
45;4;2020;100;14;Hungary;Europe;10,25299312
46;4;2020;120;8;Hungary;Europe;9,89485463
47;4;2020;210;11;Hungary;Europe;9,10694997
48;4;2020;85;8;Hungary;Europe;7,35718768
49;4;2020;78;11;Hungary;Europe;6,84556127
50;4;2020;73;9;Hungary;Europe;6,44649268
51;4;2020;11;4;Hungary;Europe;5,90416869
52;4;2020;55;2;Hungary;Europe;6,15998189
53;4;2020;55;6;Hungary;Europe;5,88370363
54;4;2020;38;5;Hungary;Europe;5,5051001
55;4;2020;60;1;Hungary;Europe;5,23905437
56;4;2020;33;4;Hungary;Europe;4,86045083
57;5;2020;26;7;Hungary;Europe;3,66324505
58;5;2020;0;0;Hungary;Europe;3,76557033
59;5;2020;25;8;Hungary;Europe;4,3385919
60;5;2020;23;4;Hungary;Europe;4,46138223
61;5;2020;22;6;Hungary;Europe;4,62510268
62;5;2020;15;8;Hungary;Europe;4,68649785
63;5;2020;15;5;Hungary;Europe;4,82975324
64;5;2020;28;4;Hungary;Europe;4,89114841
65;5;2020;35;6;Hungary;Europe;5,11626403
66;5;2020;37;3;Hungary;Europe;5,11626403
67;5;2020;43;3;Hungary;Europe;5,02417128
68;5;2020;42;3;Hungary;Europe;4,98324117
69;5;2020;21;5;Hungary;Europe;5,02417128
70;5;2020;26;11;Hungary;Europe;5,11626403
71;5;2020;36;3;Hungary;Europe;5,22882184
72;5;2020;56;6;Hungary;Europe;5,4334724
73;5;2020;37;6;Hungary;Europe;5,66882055
74;5;2020;39;6;Hungary;Europe;6,19067948
75;5;2020;28;5;Hungary;Europe;6,28277223
76;5;2020;29;4;Hungary;Europe;6,79439863
77;5;2020;21;8;Hungary;Europe;7,17300217
78;5;2020;50;8;Hungary;Europe;7,80741891
79;5;2020;35;13;Hungary;Europe;7,87904661
80;5;2020;28;9;Hungary;Europe;8,13485981
81;5;2020;39;10;Hungary;Europe;8,8613693
82;5;2020;46;10;Hungary;Europe;9,64927396
83;5;2020;30;12;Hungary;Europe;9,89485463
84;5;2020;37;11;Hungary;Europe;10,75438699
85;5;2020;56;5;Hungary;Europe;11,07159536
86;5;2020;79;12;Hungary;Europe;11,33764109
87;5;2020;88;11;Hungary;Europe;11,25578087
88;6;2020;3;4;Hungary;Europe;0,69581191
89;6;2020;4;3;Hungary;Europe;0,67534685
90;6;2020;11;0;Hungary;Europe;0,75720708
91;6;2020;4;1;Hungary;Europe;0,75720708
92;6;2020;9;1;Hungary;Europe;0,85953236
93;6;2020;7;3;Hungary;Europe;0,89022994
94;6;2020;0;0;Hungary;Europe;0,92092753
95;6;2020;5;1;Hungary;Europe;0,95162511
96;6;2020;8;2;Hungary;Europe;1,3506937
97;6;2020;8;0;Hungary;Europe;1,26883348
